id,x1,x2
1,-1.12014151,0.388209267
2,0.198274128,2.508775039
3,0.645165805,3.475744146
4,-0.151451864,0.404088107
5,-0.018417394,1.143034368
6,0.017708063,3.756860157
7,-1.218327185,3.455800995
8,-1.652126382,3.046244288
9,0.038526642,1.668005993
10,-1.372054366,0.681070178
11,-0.065281901,0.109314402
12,-0.284743988,0.195442201
13,-2.247559312,2.337538004
14,-0.297285342,2.437394612
15,0.387511421,0.395083592
16,0.397237534,0.339390909
17,-1.06489496,2.529386895
18,1.587789003,2.869937536
19,0.691938248,1.101866622
20,-0.135687193,0.433812691
21,-0.273152,3.323203219
22,1.88452197,1.837612799
23,-0.062745485,3.651141822
24,0.637006416,1.994313709
25,-0.855799426,0.29574606
26,-0.148366234,1.320797516
27,0.451577585,3.389269098
28,0.19313225,1.559160597
29,0.267692599,0.822524332
30,1.516907014,1.394790218
31,-0.645465827,0.211722979
32,0.924508009,2.077101868
33,-1.841537457,3.245903201
34,0.427956522,1.878384766
35,0.842575737,2.352751069
36,0.445836947,1.207901632
37,0.17469159,3.410391947
38,-0.66976067,1.286153365
39,0.147109885,1.207031244
40,0.659786561,0.946579209
41,-1.094945595,3.892583413
42,2.823887433,2.753937907
43,1.389127785,1.366287421
44,0.173888546,1.876806315
45,-1.521796508,0.245483133
46,-0.374253915,0.31120331
47,0.620091353,2.94583155
48,1.407577293,0.408640902
49,0.617263315,3.844038075
50,-0.334741103,3.209138539
51,-0.333161794,0.003651462
52,-0.109145411,2.214203099
53,-0.141716134,0.923903677
54,-1.398226699,2.800262359
55,1.045304389,1.522360934
56,-0.555712303,0.839386786
57,0.813097415,3.358478728
58,-1.416854235,1.89176212
59,-1.027853457,0.987540763
60,0.36312484,0.462274445
61,1.222342162,2.369181478
62,1.668050013,2.957549155
63,0.520631295,3.889127354
64,0.876535019,1.968860469
65,-0.21378326,0.421954704
66,-2.540996155,0.362720326
67,-1.223807117,1.862619364
68,0.428402766,1.29708836
69,1.01029419,3.008172362
70,0.88294862,1.648843349
71,-0.587747915,1.26845362
72,0.666162841,0.216217278
73,0.263254546,0.764855706
74,-0.296941435,1.039062266
75,-1.005047506,3.206979815
76,0.049005348,1.152485776
77,-1.123757934,2.405696305
78,-2.054917462,0.60004532
79,1.033270911,0.773562477
80,0.384709551,3.045069399
81,-0.093416767,3.831189704
82,0.398129493,3.629341462
83,0.685987491,2.580504055
84,0.249878194,2.193253183
85,-0.732262952,3.299295459
86,1.672007046,0.801915804
87,1.413112789,1.903542082
88,-1.059201777,2.995682986
89,0.686760592,1.448163161
90,-0.71406016,2.847156509
91,-0.671134715,0.000616034
92,-0.078630143,0.335362762
93,0.299528064,1.442059056
94,0.578238729,0.376737677
95,-0.008601567,3.822624689
96,2.684556868,0.888107206
97,2.121223758,0.086111102
98,0.656988181,1.691605937
99,-0.467340614,3.66951564
100,-1.190910789,0.397727052
1,-2.0261713,0.781200484
2,-0.23607617,3.749619327
3,-0.674493842,1.078436551
4,-0.986070856,2.211515204
5,-1.173097474,1.351984536
6,-0.020366661,3.523238285
7,-0.436304441,2.310007671
8,-0.536510603,3.141845641
9,1.116503398,2.207056019
10,0.688069367,3.057699163
11,-0.441772445,1.735776505
12,0.402572598,0.362982869
13,0.238124001,3.311748251
14,-0.19311343,1.809306768
15,-0.035994959,3.723334664
16,2.052261578,2.334489871
17,0.664137681,0.251865048
18,-0.476481224,0.022954905
19,0.536918547,1.720624362
20,0.083177756,0.054634286
21,0.76084125,3.154118269
22,-0.348062237,3.880597818
23,-0.699039585,2.686710937
24,-0.567926504,2.423545829
25,0.705768498,1.496434879
26,-1.428484298,1.204247367
27,-0.82467241,0.308438407
28,-0.155880645,2.428299196
29,-0.653111256,3.479108419
30,0.458937083,2.643057027
31,-1.540483366,1.75963338
32,0.194051468,2.602117823
33,0.910448855,0.797170778
34,0.59877725,1.005832283
35,-0.100818059,2.022430519
36,-0.049013447,1.690372556
37,-1.241635709,2.488725221
38,0.657689849,2.486409117
39,-0.75711857,1.379333254
40,1.083071758,2.60234082
41,-0.542483183,2.745010552
42,0.037718381,2.165160612
43,0.89669594,0.869470247
44,0.743787883,1.54969411
45,-0.624691249,1.351784808
46,0.255989226,3.573417745
47,-0.437805922,1.014655509
48,2.442507715,1.316787914
49,-0.286559311,1.739810732
50,-0.573562678,1.871295063
51,0.824930675,2.147053604
52,-1.465416074,1.834790457
53,0.375162242,1.977158124
54,0.148887029,1.816109042
55,-1.466667178,3.520653826
56,0.501483601,2.432185568
57,-0.775403409,0.200920487
58,-1.063243335,1.076638341
59,0.317469266,3.143055255
60,0.374099432,3.690300007
61,0.514266633,3.478482299
62,1.475281081,3.142421094
63,-0.487614349,0.70787183
64,0.056669963,2.923992753
65,-0.210369092,1.600806661
66,-0.657896284,1.691333561
67,0.063224244,1.513855868
68,0.243969191,0.946613603
69,-0.503742634,3.521777732
70,0.407006221,3.252534752
71,0.005697486,0.91899369
72,-1.267041894,1.865430944
