id,y
1,6.596625404
2,4.38842716
3,4.919691429
4,4.251041825
5,5.458489822
6,5.37039476
7,5.656299348
8,8.802880223
9,3.358640486
10,9.355704585
11,3.737355768
12,3.467021207
13,11.86258635
14,4.331588864
15,-0.458900508
16,0.696002916
17,8.059954634
18,-3.244499837
19,-1.375972278
20,5.500628757
21,7.340369843
22,-3.214659145
23,4.482140841
24,1.917199156
25,8.177693532
26,5.02242798
27,0.913254986
28,3.774340854
29,2.502431736
30,-2.791746788
31,4.723394337
32,0.124141328
33,11.45976402
34,4.156400517
35,4.262762335
36,3.675616288
37,4.435508499
38,6.366959678
39,4.584194862
40,5.830343532
41,6.499293702
42,-4.548333509
43,0.533564463
44,2.997406191
45,9.311852605
46,5.671529269
47,1.082812225
48,1.549470107
49,2.845823284
50,3.646200143
51,5.599751728
52,5.752058521
53,2.354145768
54,11.37783625
55,1.972252597
56,6.353449692
57,5.286758438
58,6.8694576
59,8.458760482
60,-0.049734398
61,-0.403931778
62,-2.732860219
63,2.430164302
64,1.186193423
65,4.00817908
66,12.20156827
67,7.157909479
68,3.27701351
69,0.997411045
70,2.257724374
71,4.758431081
72,4.549366355
73,4.885161187
74,6.83992266
75,5.00893288
76,3.044019284
77,5.400293271
78,8.938938905
79,2.016881328
80,1.191454955
81,2.686219642
82,2.425104633
83,0.908398292
84,3.004275391
85,6.805791574
86,0.033824128
87,0.747976491
88,7.85442051
89,0.257998579
90,6.066555948
91,7.620793547
92,3.245331913
93,2.580871598
94,2.601729015
95,3.735905579
96,-5.503609993
97,-1.718408464
98,2.599391483
99,4.596561354
100,10.8850267
